# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FHX      = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# T10N     = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,  FHX,   TX, T10N
# 
  240,20001101,  110,   94,   70
  240,20001102,  120,  110,   46
  240,20001103,  100,  109,   53
  240,20001104,   70,  104,   45
  240,20001105,   80,   99,   46
  240,20001106,  100,  115,   65
  240,20001107,   70,   96,   68
  240,20001108,   90,   91,   70
  240,20001109,   90,   86,   71
  240,20001110,   80,   85,   60
  240,20001111,  110,  103,   65
  240,20001112,  100,   99,   71
  240,20001113,   70,   95,   42
  240,20001114,   50,   73,    9
  240,20001115,   70,   73,   35
  240,20001116,   90,   85,   47
  240,20001117,   60,   85,   27
  240,20001118,  110,   85,   26
  240,20001119,  110,  115,   62
  240,20001120,   70,   84,   36
  240,20001121,   90,   69,   37
  240,20001122,  100,  104,   55
  240,20001123,   60,  111,   39
  240,20001124,   80,   95,   38
  240,20001125,  110,   90,   39
  240,20001126,  110,   97,   55
  240,20001127,   70,   88,   50
  240,20001128,  100,  148,   74
  240,20001129,   70,  134,   93
  240,20001130,   70,  124,   78
  240,20001201,   80,  129,  100
  240,20001202,   90,  126,   82
  240,20001203,   70,  105,   50
  240,20001204,  100,   93,   41
  240,20001205,   80,  121,   61
  240,20001206,   80,  123,   72
  240,20001207,   70,  114,   63
  240,20001208,  120,  145,   94
  240,20001209,  100,  108,   68
  240,20001210,  120,  115,   64
  240,20001211,  140,  137,   88
  240,20001212,  130,  142,  114
  240,20001213,  180,  126,   82
  240,20001214,  120,   97,   42
  240,20001215,  100,   78,   36
  240,20001216,  100,   62,   30
  240,20001217,   50,   62,    9
  240,20001218,   40,   45,   -4
  240,20001219,   70,   56,    6
  240,20001220,   80,   32,   -3
  240,20001221,   70,   21,  -34
  240,20001222,   40,    9,  -58
  240,20001223,   30,   18,  -74
  240,20001224,   80,   15,    3
  240,20001225,  100,   13,  -27
  240,20001226,   90,   -4,  -30
  240,20001227,   60,   -4,  -20
  240,20001228,  110,   31,  -33
  240,20001229,   70,   43,    2
  240,20001230,   80,   39,   -2
  240,20001231,   90,   33,  -26
  240,20010101,  120,   70,    7
  240,20010102,  100,  101,   55
  240,20010103,   90,   92,   40
  240,20010104,  110,   89,   54
  240,20010105,  120,  100,   58
  240,20010106,   80,   76,   43
  240,20010107,   70,   71,   23
  240,20010108,   60,   67,   14
  240,20010109,   50,   58,    9
  240,20010110,   90,   42,   22
  240,20010111,   90,   33,  -33
  240,20010112,   40,   51,  -46
  240,20010113,   60,   23,  -24
  240,20010114,   80,   26,  -39
  240,20010115,   70,    7,  -38
  240,20010116,   30,   14,  -71
  240,20010117,   20,   -3,  -92
  240,20010118,   20,   -9,  -86
  240,20010119,   40,    4,  -17
  240,20010120,   40,   16,   -8
  240,20010121,   80,    7,   -8
  240,20010122,   60,   61,   -1
  240,20010123,  110,  107,   35
  240,20010124,  130,  110,   27
  240,20010125,   70,   78,   27
  240,20010126,   80,   62,   25
  240,20010127,  110,   61,   31
  240,20010128,   60,   71,   20
  240,20010129,   30,   64,  -25
  240,20010130,   40,   57,  -34
  240,20010131,   30,   36,    0
  240,20010201,   30,   53,  -14
  240,20010202,   60,   16,    0
  240,20010203,   60,    7,   -5
  240,20010204,   60,   84,  -10
  240,20010205,  120,  101,   71
  240,20010206,  120,  123,   74
  240,20010207,  100,  114,   81
  240,20010208,  110,  107,   32
  240,20010209,   50,   68,  -43
  240,20010210,   90,   66,  -48
  240,20010211,  130,  130,   53
  240,20010212,   90,  121,   47
  240,20010213,   70,   90,   -6
  240,20010214,   30,   76,  -10
  240,20010215,   20,  127,  -26
  240,20010216,   40,   55,  -23
  240,20010217,   60,   54,   28
  240,20010218,   50,   86,  -14
  240,20010219,   80,   66,   33
  240,20010220,   80,   82,   21
  240,20010221,   70,   91,   25
  240,20010222,  100,   77,   16
  240,20010223,   70,   56,  -14
  240,20010224,   90,   27,  -25
  240,20010225,   70,   52,  -11
  240,20010226,   70,   55,   -6
  240,20010227,   80,   49,   -2
  240,20010228,   40,   57,  -11
  240,20010301,   40,   26,    2
  240,20010302,   80,   39,  -41
  240,20010303,   70,   13,  -32
  240,20010304,   60,   28,  -15
  240,20010305,   40,   45,  -17
  240,20010306,   70,   90,  -22
  240,20010307,   70,  131,   32
  240,20010308,   90,  105,   47
  240,20010309,   90,  104,   64
  240,20010310,   90,  112,   82
  240,20010311,  110,  135,   82
  240,20010312,   90,  120,   41
  240,20010313,  100,   79,   33
  240,20010314,   90,   84,    4
  240,20010315,   40,  107,  -21
  240,20010316,   90,   83,   42
  240,20010317,  100,   45,   23
  240,20010318,   70,   35,   19
  240,20010319,   90,   49,  -34
  240,20010320,   60,   65,  -39
  240,20010321,   80,   23,    0
  240,20010322,   50,   46,    6
  240,20010323,   80,   79,   42
  240,20010324,   80,  106,   33
  240,20010325,   90,   40,   21
  240,20010326,   60,   54,   14
  240,20010327,   90,   62,   11
  240,20010328,  110,  117,   27
  240,20010329,   70,   99,    4
  240,20010330,   70,  100,   -1
  240,20010331,  100,  123,   27
  240,20010401,   70,  139,   48
  240,20010402,   70,  214,   37
  240,20010403,  110,  158,   56
  240,20010404,  130,  107,   55
  240,20010405,  110,  110,   55
  240,20010406,  120,  126,   86
  240,20010407,   90,  109,   53
  240,20010408,   70,   92,   20
  240,20010409,   60,   97,   46
  240,20010410,   70,  114,   71
  240,20010411,   90,  114,   11
  240,20010412,   90,   90,  -17
  240,20010413,   70,   82,  -35
  240,20010414,   90,   87,  -43
  240,20010415,   90,   92,   45
  240,20010416,   80,   93,   45
  240,20010417,   80,   80,   30
  240,20010418,  100,   82,   13
  240,20010419,  100,   73,   13
  240,20010420,   50,   71,   -5
  240,20010421,   60,  109,    0
  240,20010422,   40,  123,  -18
  240,20010423,   40,  130,   16
  240,20010424,   80,  157,   35
  240,20010425,   70,  140,   59
  240,20010426,  100,  129,   83
  240,20010427,   60,  130,   61
  240,20010428,  130,  131,   59
  240,20010429,   70,  167,   50
  240,20010430,   70,  169,   82
  240,20010501,  110,  125,   73
  240,20010502,   90,  191,   62
  240,20010503,   70,  169,   72
  240,20010504,   60,  102,   38
  240,20010505,   80,  106,   28
  240,20010506,   90,  145,   54
  240,20010507,   90,  158,   55
  240,20010508,   60,  156,   28
