# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 269:         5.520       52.458      -3.70  LELYSTAD
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 280:         6.585       53.125       5.20  EELDE
# 283:         6.657       52.069      29.10  HUPSEL
# 290:         6.891       52.274      34.80  TWENTHE
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 319:         3.861       51.226       1.70  WESTDORPE
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 370:         5.377       51.451      22.60  EINDHOVEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# T10N     = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TX, T10N
# 
  240,20161101,   92,  147,   23
  240,20161102,   74,  121,    3
  240,20161103,   74,  120,    4
  240,20161104,   79,   98,   67
  240,20161105,   74,  111,   28
  240,20161106,   68,  103,   12
  240,20161107,   49,   69,   -3
  240,20161108,   16,   46,  -47
  240,20161109,   32,   44,    1
  240,20161110,   42,   52,   20
  240,20161111,   26,   61,  -44
  240,20161112,   24,   52,  -41
  240,20161113,   36,   53,  -26
  240,20161114,   37,   76,  -32
  240,20161115,  112,  134,   70
  240,20161116,  120,  141,   86
  240,20161117,   91,  113,   62
  240,20161118,   62,   88,   22
  240,20161119,   55,   87,   35
  240,20161120,   77,  107,   41
  240,20161121,  116,  138,   69
  240,20161122,  102,  130,   34
  240,20161123,   83,  107,   21
  240,20161124,   69,   88,   30
  240,20161125,   44,   71,  -14
  240,20161126,   24,   73,  -52
  240,20161127,   69,   97,    9
  240,20161128,   10,   48,  -71
  240,20161129,  -14,   44,  -90
  240,20161130,   36,   96,  -81
  240,20161201,   91,  102,   52
  260,20161101,   81,  138,   17
  260,20161102,   72,  117,   -1
  260,20161103,   67,  120,  -15
  260,20161104,   76,   97,   62
  260,20161105,   69,  108,   27
  260,20161106,   61,   93,    2
  260,20161107,   42,   57,  -11
  260,20161108,   19,   56,  -54
  260,20161109,   30,   43,   -1
  260,20161110,   40,   52,   27
  260,20161111,   18,   58,  -57
  260,20161112,   20,   50,  -60
  260,20161113,   27,   47,  -29
  260,20161114,   31,   69,  -38
  260,20161115,  108,  129,   68
  260,20161116,  119,  142,   90
  260,20161117,   93,  115,   73
  260,20161118,   60,   82,   23
  260,20161119,   58,   81,   33
  260,20161120,   84,  125,   41
  260,20161121,  120,  139,   79
  260,20161122,  110,  142,   41
  260,20161123,   79,  111,   18
  260,20161124,   66,   87,   23
  260,20161125,   33,   84,  -29
  260,20161126,   -1,   36,  -47
  260,20161127,   56,   94,  -38
  260,20161128,   -3,   42,  -71
  260,20161129,  -31,   43,  -96
  260,20161130,   20,   68,  -95
  260,20161201,   79,   94,   49
  269,20161101,   91,  138,   16
  269,20161102,   73,  110,    8
  269,20161103,   69,  112,    0
  269,20161104,   73,   92,   57
  269,20161105,   64,   97,   24
  269,20161106,   64,  101,   25
  269,20161107,   39,   62,  -22
  269,20161108,   15,   45,  -56
  269,20161109,   29,   42,    0
  269,20161110,   36,   46,   29
  269,20161111,   21,   54,  -50
  269,20161112,   20,   48,  -36
  269,20161113,   22,   41,  -40
  269,20161114,   28,   69,  -51
  269,20161115,  103,  128,   67
  269,20161116,  115,  143,   80
  269,20161117,   88,  111,   62
  269,20161118,   60,   83,   22
  269,20161119,   54,   82,   24
  269,20161120,   78,  115,   35
  269,20161121,  117,  137,   65
  269,20161122,  107,  127,   31
  269,20161123,   71,  100,   14
  269,20161124,   57,   77,   13
  269,20161125,   23,   66,  -18
  269,20161126,   -5,   36,  -28
  269,20161127,   58,   92,  -32
  269,20161128,   -6,   40,  -75
  269,20161129,  -28,   31,  -94
  269,20161130,   24,   68,  -64
  269,20161201,   78,   93,   49
  270,20161101,   97,  136,   38
  270,20161102,   80,  112,   28
  270,20161103,   77,  110,   16
  270,20161104,   80,   97,   68
  270,20161105,   65,  100,   27
  270,20161106,   68,  110,    9
  270,20161107,   41,   62,    1
  270,20161108,   15,   33,  -38
  270,20161109,   25,   41,    6
  270,20161110,   19,   33,   -4
