# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 269:         5.520       52.458      -3.70  LELYSTAD
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 280:         6.585       53.125       5.20  EELDE
# 283:         6.657       52.069      29.10  HUPSEL
# 290:         6.891       52.274      34.80  TWENTHE
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 319:         3.861       51.226       1.70  WESTDORPE
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 370:         5.377       51.451      22.60  EINDHOVEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TX
# 
  240,20161201,  102
  240,20161202,   96
  240,20161203,   79
  240,20161204,   42
  240,20161205,   40
  240,20161206,   54
  240,20161207,   90
  240,20161208,  112
  240,20161209,  110
  240,20161210,   96
  240,20161211,  106
  240,20161212,   81
  240,20161213,   75
  240,20161214,   87
  240,20161215,   76
  240,20161216,   78
  240,20161217,   91
  240,20161218,  102
  240,20161219,   84
  240,20161220,   37
  240,20161221,   66
  240,20161222,   77
  240,20161223,   85
  240,20161224,   99
  240,20161225,  124
  240,20161226,  116
  240,20161227,   92
  240,20161228,   33
  240,20161229,   -3
  240,20161230,   41
  240,20161231,   49
  240,20170101,   32
  240,20170102,   67
  240,20170103,   74
  240,20170104,   76
  240,20170105,   40
  240,20170106,   -2
  240,20170107,   35
  240,20170108,   72
  240,20170109,   66
  240,20170110,   74
  240,20170111,   98
  240,20170112,   79
  240,20170113,   62
  240,20170114,   49
  240,20170115,   36
  240,20170116,   33
  240,20170117,    4
  240,20170118,  -16
  240,20170119,   48
  240,20170120,   48
  240,20170121,   46
  240,20170122,   37
  240,20170123,   32
  240,20170124,   31
  240,20170125,    7
  240,20170126,   -1
  240,20170127,   47
  240,20170128,   94
  240,20170129,   61
  240,20170130,   71
  240,20170131,   57
  240,20170201,   64
  240,20170202,  129
  240,20170203,  114
  240,20170204,   72
  240,20170205,   61
  240,20170206,   62
  240,20170207,   41
  240,20170208,    9
  240,20170209,   -8
  240,20170210,  -15
  240,20170211,    8
  240,20170212,   20
